Time,0.0V,2.5V,3.0V,3.5V,4.0V,4.5V,5.0V
0:00:00,0,0,0,0,0,0,0
0:30:00,0,0,0,0,0,0,0
1:00:00,0,0,0,0,0,0,0
1:30:00,0,0,0,0,0,0,30
2:00:00,0,0,0,0,0,0,100
2:30:00,0,0,0,0,20,30,170
3:00:00,0,0,0,30,20,60,240
3:30:00,0,0,30,50,70,100,310
4:00:00,0,0,30,70,100,130,350
4:30:00,0,0,80,130,120,170,440
5:00:00,0,0,80,150,180,200,520
5:30:00,0,0,120,180,200,270,600
6:00:00,0,20,120,220,220,310,650
6:30:00,0,20,150,250,250,350,720
7:00:00,0,50,150,270,290,380,800
7:30:00,0,80,190,300,310,410,870
8:00:00,0,80,190,340,360,470,970
8:30:00,0,110,230,370,390,510,1050
9:00:00,0,110,230,400,420,550,1130
9:30:00,0,130,270,430,470,600,1210
10:00:00,0,130,270,470,500,640,1280
10:30:00,0,160,300,530,520,690,1400
11:00:00,0,160,300,590,560,730,1480
11:30:00,0,190,340,620,590,780,1560
12:00:00,0,190,340,650,620,860,1640
12:30:00,0,190,380,670,650,900,1710
13:00:00,0,230,380,700,690,940,1780
13:30:00,0,230,410,740,730,980,1900
14:00:00,0,270,410,790,790,1060,1990
14:30:00,0,270,450,830,830,1110,2080
15:00:00,0,290,450,830,860,1160,2170
15:30:00,0,290,490,860,890,1220,2260
16:00:00,0,330,490,900,930,1260,2330
16:30:00,0,330,530,940,960,1300,2410
17:00:00,0,360,530,970,1020,1350,2480
17:30:00,0,360,570,1000,1070,1390,2580
18:00:00,0,390,600,1040,1100,1420,2660
18:30:00,0,420,600,1070,1150,1500,2740
19:00:00,0,420,640,1100,1190,1540,2800
19:30:00,0,460,640,1130,1230,1610,2860
20:00:00,0,460,680,1160,1260,1670,2960
20:30:00,0,490,680,1190,1320,1740,3060
21:00:00,0,490,720,1220,1370,1780,3140
21:30:00,0,530,720,1250,1400,1850,3260
22:00:00,0,530,750,1280,1460,1930,3340
22:30:00,0,560,750,1310,1500,1990,3410
23:00:00,0,560,780,1340,1530,2050,3480
23:30:00,0,590,780,1360,1560,2110,3560
24:00:00,0,590,820,1390,1640,2170,3640
