Time,0.0V,2.5V,3.0V,3.5V,4.0V,4.5V,5.0V
0:00:00,0,0,0,0,0,0,0
0:30:00,0,0,0,0,0,0,0
1:00:00,0,0,0,0,0,0,120
1:30:00,0,50,0,50,0,0,250
2:00:00,0,50,0,100,30,50,390
2:30:00,0,50,70,160,80,90,540
3:00:00,0,80,120,240,110,170,660
3:30:00,0,80,160,270,150,200,790
4:00:00,0,110,160,330,180,270,940
4:30:00,0,130,200,400,200,310,1060
5:00:00,0,160,200,460,260,390,1170
5:30:00,0,160,260,530,290,430,1280
6:00:00,0,190,310,600,350,460,1440
6:30:00,0,220,360,660,370,540,1560
7:00:00,0,250,360,730,400,580,1750
7:30:00,0,250,400,800,450,650,1860
8:00:00,0,280,450,860,480,720,2010
8:30:00,0,320,490,930,530,770,2130
9:00:00,0,320,490,1000,560,850,2260
9:30:00,0,350,540,1060,610,930,2370
10:00:00,0,390,580,1120,640,960,2490
10:30:00,0,390,630,1190,690,1030,2630
11:00:00,0,390,670,1250,720,1100,2790
11:30:00,0,450,720,1310,750,1170,2900
12:00:00,0,450,720,1400,790,1200,2990
12:30:00,0,480,800,1460,850,1260,3090
13:00:00,0,520,800,1530,880,1350,3200
13:30:00,0,560,840,1560,930,1380,3300
14:00:00,0,560,880,1630,930,1450,3390
14:30:00,0,600,920,1700,990,1520,3480
15:00:00,0,630,960,1780,1020,1580,3560
15:30:00,0,630,1010,1820,1080,1640,3650
16:00:00,0,660,1060,1870,1120,1690,3720
16:30:00,0,690,1060,1940,1180,1750,3800
17:00:00,0,730,1100,1990,1220,1870,3860
17:30:00,0,730,1140,2030,1240,1940,3940
18:00:00,0,760,1180,2090,1300,2010,4020
18:30:00,0,790,1230,2160,1350,2070,4120
19:00:00,0,820,1280,2220,1400,2130,4220
19:30:00,0,850,1320,2270,1450,2200,4340
20:00:00,0,880,1320,2330,1490,2270,4450
20:30:00,0,910,1360,2380,1520,2360,4540
21:00:00,0,910,1400,2430,1560,2440,4630
21:30:00,0,950,1440,2520,1600,2480,4690
22:00:00,0,980,1480,2570,1660,2550,4780
22:30:00,0,1010,1520,2640,1720,2650,4850
23:00:00,0,1050,1570,2730,1740,2730,4920
23:30:00,0,1050,1620,2780,1810,2790,5050
24:00:00,0,1090,1640,2870,1840,2880,5120
